Starttime,Stoptime
9/7/2015 10:55,9/7/2015 11:33
9/7/2015 10:56,9/7/2015 13:02
9/7/2015 10:57,9/7/2015 11:44
9/7/2015 10:57,9/7/2015 11:20
9/7/2015 10:58,9/7/2015 12:59
9/7/2015 10:59,9/7/2015 11:08
9/7/2015 11:02,9/7/2015 11:49
9/7/2015 11:03,9/7/2015 11:14
9/7/2015 11:03,9/7/2015 12:21
9/7/2015 11:03,9/7/2015 11:51
9/7/2015 11:04,9/7/2015 12:26
9/7/2015 11:04,9/7/2015 12:22
9/7/2015 11:05,9/7/2015 12:28
9/7/2015 11:06,9/7/2015 12:21
9/7/2015 11:07,9/7/2015 12:26
9/7/2015 11:08,9/7/2015 11:27
9/7/2015 11:08,9/7/2015 12:00
9/7/2015 11:11,9/7/2015 12:03
9/7/2015 11:11,9/7/2015 12:50
9/7/2015 11:11,9/7/2015 13:06
9/7/2015 11:11,9/7/2015 11:45
9/7/2015 11:11,9/7/2015 11:45
9/7/2015 11:12,9/7/2015 11:43
9/7/2015 11:12,9/7/2015 11:43
9/7/2015 11:12,9/7/2015 11:45
9/7/2015 11:13,9/7/2015 11:45
9/7/2015 11:13,9/7/2015 11:37
9/7/2015 11:14,9/7/2015 11:37
9/7/2015 11:16,9/7/2015 13:17
9/7/2015 11:17,9/7/2015 11:31
9/7/2015 11:19,9/7/2015 13:17
9/7/2015 11:22,9/7/2015 12:22
9/7/2015 11:23,9/7/2015 15:37
9/7/2015 11:27,9/7/2015 12:01
9/7/2015 11:30,9/7/2015 11:50
9/7/2015 11:31,9/7/2015 11:43
9/7/2015 11:31,9/7/2015 12:08
9/7/2015 11:31,9/7/2015 11:43
9/7/2015 11:33,9/7/2015 12:08
9/7/2015 11:33,9/7/2015 14:20
9/7/2015 11:36,9/7/2015 13:16
9/7/2015 11:36,9/7/2015 13:16
9/7/2015 11:37,9/7/2015 12:30
9/7/2015 11:38,9/7/2015 12:00
9/7/2015 11:38,9/7/2015 12:00
9/7/2015 11:39,9/7/2015 12:00
9/7/2015 11:39,9/7/2015 12:01
9/7/2015 11:39,9/7/2015 11:48
9/7/2015 11:39,9/7/2015 14:17
9/7/2015 11:40,9/7/2015 12:42
9/7/2015 11:40,9/7/2015 14:18
9/7/2015 11:41,9/7/2015 12:41
9/7/2015 11:43,9/7/2015 12:00
9/7/2015 11:43,9/7/2015 14:51
9/7/2015 11:47,9/7/2015 11:52
9/7/2015 11:53,9/7/2015 12:05
9/7/2015 11:54,9/7/2015 12:34
9/7/2015 11:54,9/7/2015 12:40
9/7/2015 11:55,9/7/2015 12:00
9/7/2015 11:55,9/7/2015 12:03
9/7/2015 11:55,9/7/2015 12:01
9/7/2015 11:56,9/7/2015 12:34
9/7/2015 11:56,9/7/2015 12:02
9/7/2015 11:57,9/7/2015 14:09
9/7/2015 11:59,9/7/2015 17:09
9/7/2015 12:00,9/7/2015 14:09
9/7/2015 12:00,9/7/2015 12:24
9/7/2015 12:01,9/7/2015 13:51
9/7/2015 12:02,9/7/2015 13:29
9/7/2015 12:03,9/7/2015 12:16
9/7/2015 12:04,9/7/2015 12:23
9/7/2015 12:04,9/7/2015 12:13
9/7/2015 12:04,9/7/2015 12:50
9/7/2015 12:05,9/7/2015 12:51
9/7/2015 12:06,9/7/2015 12:50
9/7/2015 12:09,9/7/2015 12:16
9/7/2015 12:09,9/7/2015 12:16
9/7/2015 12:10,9/7/2015 12:30
9/7/2015 12:10,9/7/2015 12:30
9/7/2015 12:10,9/7/2015 12:31
9/7/2015 12:12,9/7/2015 14:47
9/7/2015 12:14,9/7/2015 12:30
9/7/2015 12:15,9/7/2015 12:26
9/7/2015 12:15,9/7/2015 12:48
9/7/2015 12:16,9/7/2015 12:31
9/7/2015 12:17,9/7/2015 13:36
9/7/2015 12:17,9/7/2015 14:49
9/7/2015 12:20,9/7/2015 13:26
9/7/2015 12:20,9/7/2015 13:03
9/7/2015 12:20,9/7/2015 13:18
9/7/2015 12:21,9/7/2015 13:18
9/7/2015 12:21,9/7/2015 15:16
9/7/2015 12:22,9/7/2015 16:07
9/7/2015 12:26,9/7/2015 13:04
9/7/2015 12:34,9/7/2015 13:04
9/7/2015 12:37,9/7/2015 13:04
9/7/2015 12:37,9/7/2015 16:29
9/7/2015 12:40,9/7/2015 13:40
9/7/2015 12:44,9/7/2015 13:03
9/7/2015 12:44,9/7/2015 17:05
9/7/2015 12:44,9/7/2015 12:55
9/7/2015 12:49,9/7/2015 13:32
9/7/2015 12:49,9/7/2015 13:39
9/7/2015 12:49,9/7/2015 12:53
9/7/2015 12:49,9/7/2015 14:20
9/7/2015 12:50,9/7/2015 13:08
9/7/2015 12:50,9/7/2015 13:07
9/7/2015 12:50,9/7/2015 17:05
9/7/2015 12:50,9/7/2015 13:18
9/7/2015 12:56,9/7/2015 13:07
9/7/2015 12:56,9/7/2015 13:12
9/7/2015 12:58,9/7/2015 13:25
9/7/2015 12:59,9/7/2015 14:06
9/7/2015 13:00,9/7/2015 14:06
9/7/2015 13:00,9/7/2015 13:46
9/7/2015 13:01,9/7/2015 13:38
9/7/2015 13:02,9/7/2015 13:46
9/7/2015 13:04,9/7/2015 13:39
9/7/2015 13:04,9/7/2015 13:52
9/7/2015 13:05,9/7/2015 13:54
9/7/2015 13:05,9/7/2015 13:10
9/7/2015 13:06,9/7/2015 13:41
9/7/2015 13:07,9/7/2015 13:20
9/7/2015 13:07,9/7/2015 13:20
9/7/2015 13:07,9/8/2015 14:03
9/7/2015 13:08,9/7/2015 13:40
9/7/2015 13:11,9/7/2015 15:06
9/7/2015 13:11,9/7/2015 15:40
9/7/2015 13:13,9/7/2015 14:11
9/7/2015 13:18,9/7/2015 14:19
9/7/2015 13:22,9/7/2015 13:34
9/7/2015 13:22,9/7/2015 15:07
9/7/2015 13:22,9/7/2015 14:12
9/7/2015 13:23,9/7/2015 16:42
9/7/2015 13:24,9/7/2015 14:26
9/7/2015 13:28,9/7/2015 14:05
9/7/2015 13:29,9/7/2015 14:07
9/7/2015 13:29,9/10/2015 11:03
9/7/2015 13:29,9/7/2015 15:04
9/7/2015 13:30,9/7/2015 13:53
9/7/2015 13:34,9/8/2015 7:21
9/7/2015 13:35,9/7/2015 15:40
9/7/2015 13:36,9/7/2015 14:04
9/7/2015 13:36,9/7/2015 15:24
9/7/2015 13:36,9/7/2015 14:05
9/7/2015 13:37,9/7/2015 14:17
9/7/2015 13:37,9/7/2015 14:32
9/7/2015 13:38,9/7/2015 14:03
9/7/2015 13:39,9/7/2015 14:03
9/7/2015 13:40,9/7/2015 13:57
9/7/2015 13:40,9/7/2015 14:15
9/7/2015 13:43,9/7/2015 14:11
9/7/2015 13:44,9/7/2015 14:12
9/7/2015 13:44,9/7/2015 13:53
9/7/2015 13:45,9/7/2015 14:27
9/7/2015 13:47,9/7/2015 14:24
9/7/2015 13:47,9/7/2015 13:58
9/7/2015 13:48,9/7/2015 13:58
9/7/2015 13:50,9/7/2015 14:06
9/7/2015 13:50,9/7/2015 14:06
9/7/2015 13:51,9/7/2015 15:28
9/7/2015 13:51,9/7/2015 14:06
9/7/2015 13:53,9/7/2015 16:23
9/7/2015 13:55,9/7/2015 14:07
9/7/2015 13:55,9/7/2015 14:04
9/7/2015 13:56,9/7/2015 14:03
9/7/2015 13:58,9/7/2015 15:29
9/7/2015 13:59,9/7/2015 17:16
9/7/2015 14:00,9/7/2015 14:23
9/7/2015 14:00,9/7/2015 17:17
9/7/2015 14:00,9/7/2015 17:18
9/7/2015 14:00,9/7/2015 14:27
9/7/2015 14:02,9/7/2015 14:58
9/7/2015 14:05,9/7/2015 16:20
9/7/2015 14:05,9/7/2015 14:55
9/7/2015 14:06,9/7/2015 14:51
9/7/2015 14:06,9/7/2015 14:46
9/7/2015 14:07,9/7/2015 16:23
9/7/2015 14:07,9/7/2015 14:47
9/7/2015 14:07,9/7/2015 14:50
9/7/2015 14:08,9/7/2015 16:22
9/7/2015 14:08,9/7/2015 17:06
9/7/2015 14:09,9/7/2015 14:48
9/7/2015 14:10,9/7/2015 14:46
9/7/2015 14:11,9/7/2015 14:55
9/7/2015 14:16,9/7/2015 15:48
9/7/2015 14:17,9/7/2015 15:36
9/7/2015 14:17,9/7/2015 15:07
9/7/2015 14:18,9/7/2015 15:42
9/7/2015 14:20,9/7/2015 14:46
9/7/2015 14:20,9/7/2015 14:37
9/7/2015 14:21,9/7/2015 14:42
9/7/2015 14:23,9/7/2015 15:41
9/7/2015 14:25,9/7/2015 14:45
9/7/2015 14:25,9/7/2015 14:37
9/7/2015 14:26,9/7/2015 16:57
9/7/2015 14:27,9/7/2015 15:41
9/7/2015 14:27,9/7/2015 16:58
9/7/2015 14:30,9/7/2015 18:18
9/7/2015 14:38,9/7/2015 15:12
9/7/2015 14:43,9/7/2015 16:15
9/7/2015 14:43,9/7/2015 18:01
9/7/2015 14:45,9/7/2015 15:02
9/7/2015 14:46,9/7/2015 16:19
9/7/2015 14:48,9/7/2015 15:06
9/7/2015 14:49,9/7/2015 15:06
9/7/2015 14:49,9/7/2015 15:14
9/7/2015 14:50,9/7/2015 15:16
9/7/2015 14:51,9/7/2015 15:16
9/7/2015 14:54,9/8/2015 12:05
9/7/2015 14:54,9/7/2015 15:40
9/7/2015 14:55,9/7/2015 15:43
9/7/2015 14:55,9/7/2015 15:53
9/7/2015 14:57,9/7/2015 15:50
9/7/2015 14:59,9/7/2015 15:21
9/7/2015 15:02,9/7/2015 15:21
9/7/2015 15:03,9/7/2015 16:10
9/7/2015 15:03,9/7/2015 16:10
