Starttime,Stoptime
8/10/2015 14:32,8/10/2015 14:38
8/10/2015 14:32,8/10/2015 15:27
8/10/2015 14:39,8/10/2015 15:06
8/10/2015 14:42,8/10/2015 15:11
8/10/2015 14:42,8/10/2015 15:29
8/10/2015 14:42,8/10/2015 14:48
8/10/2015 14:44,8/10/2015 14:48
8/10/2015 14:47,8/10/2015 14:57
8/10/2015 15:03,8/10/2015 15:47
8/10/2015 15:08,8/10/2015 15:45
8/10/2015 15:11,8/10/2015 15:47
8/10/2015 15:15,8/10/2015 15:18
8/10/2015 15:16,8/10/2015 15:39
8/10/2015 15:17,8/10/2015 15:29
8/10/2015 15:17,8/10/2015 17:03
8/10/2015 15:23,8/10/2015 17:05
8/10/2015 15:24,8/10/2015 15:47
8/10/2015 15:26,8/10/2015 15:38
8/10/2015 15:43,8/10/2015 16:18
8/10/2015 15:44,8/10/2015 16:16
8/10/2015 15:48,8/10/2015 16:06
8/10/2015 15:49,8/10/2015 16:04
8/10/2015 15:52,8/11/2015 15:57
8/10/2015 15:52,8/10/2015 16:31
8/10/2015 16:04,8/10/2015 16:15
8/10/2015 16:05,8/10/2015 16:26
8/10/2015 16:07,8/10/2015 16:23
8/10/2015 16:18,8/10/2015 16:37
8/10/2015 16:21,8/10/2015 16:40
8/10/2015 16:23,8/10/2015 17:05
8/10/2015 16:27,8/10/2015 16:40
8/10/2015 16:29,8/10/2015 16:48
8/10/2015 16:30,8/10/2015 16:45
8/10/2015 16:30,8/10/2015 16:44
8/10/2015 16:39,8/10/2015 16:57
8/10/2015 16:39,8/10/2015 16:49
8/10/2015 16:43,8/10/2015 16:52
8/10/2015 16:44,8/10/2015 17:09
8/10/2015 16:44,8/10/2015 17:39
8/10/2015 16:46,8/10/2015 17:01
8/10/2015 16:47,8/10/2015 18:48
8/10/2015 16:53,8/10/2015 16:57
8/10/2015 16:54,8/10/2015 17:19
8/10/2015 16:57,8/10/2015 18:48
8/10/2015 16:58,8/10/2015 17:32
8/10/2015 17:01,8/10/2015 17:10
8/10/2015 17:04,8/10/2015 17:57
8/10/2015 17:07,8/10/2015 17:19
8/10/2015 17:08,8/10/2015 17:58
8/10/2015 17:12,8/10/2015 17:18
8/10/2015 17:18,8/10/2015 17:29
8/10/2015 17:19,8/10/2015 17:39
8/10/2015 17:21,8/10/2015 17:40
8/10/2015 17:22,8/10/2015 17:39
8/10/2015 17:22,8/10/2015 17:39
8/10/2015 17:26,8/10/2015 17:34
8/10/2015 17:28,8/10/2015 17:34
8/10/2015 17:30,8/10/2015 17:44
8/10/2015 17:30,8/10/2015 19:00
8/10/2015 17:33,8/10/2015 17:42
8/10/2015 17:34,8/10/2015 18:00
8/10/2015 17:35,8/10/2015 19:03
8/10/2015 17:35,8/10/2015 20:06
8/10/2015 17:36,8/10/2015 17:40
8/10/2015 17:37,8/10/2015 17:51
8/10/2015 17:37,8/10/2015 17:48
8/10/2015 17:42,8/10/2015 17:49
8/10/2015 17:47,8/10/2015 20:07
8/10/2015 17:48,8/10/2015 18:10
8/10/2015 17:48,8/10/2015 18:20
8/10/2015 17:49,8/10/2015 17:54
8/10/2015 17:49,8/10/2015 18:09
8/10/2015 17:55,8/10/2015 18:03
8/10/2015 17:55,8/10/2015 18:12
8/10/2015 17:58,8/10/2015 18:55
8/10/2015 18:02,8/10/2015 18:09
8/10/2015 18:04,8/10/2015 18:14
8/10/2015 18:06,8/10/2015 18:17
8/10/2015 18:08,8/10/2015 18:19
8/10/2015 18:09,8/10/2015 18:29
8/10/2015 18:10,8/10/2015 18:34
8/10/2015 18:18,8/10/2015 18:26
8/10/2015 18:18,8/10/2015 20:12
8/10/2015 18:21,8/10/2015 20:11
8/10/2015 18:29,8/10/2015 18:34
8/10/2015 18:34,8/10/2015 18:46
8/10/2015 18:34,8/10/2015 18:51
8/10/2015 18:34,8/10/2015 18:48
8/10/2015 18:38,8/10/2015 18:44
8/10/2015 18:39,8/10/2015 18:48
8/10/2015 18:41,8/10/2015 19:32
8/10/2015 18:42,8/10/2015 19:33
8/10/2015 18:46,8/10/2015 19:04
8/10/2015 18:46,8/10/2015 19:04
8/10/2015 18:47,8/10/2015 19:21
8/10/2015 18:51,8/10/2015 19:03
8/10/2015 18:57,8/10/2015 19:14
8/10/2015 18:59,8/10/2015 19:55
8/10/2015 19:05,8/10/2015 19:19
8/10/2015 19:06,8/10/2015 19:27
8/10/2015 19:07,8/10/2015 19:30
8/10/2015 19:16,8/10/2015 19:36
8/10/2015 19:16,8/10/2015 19:26
8/10/2015 19:18,8/10/2015 19:27
8/10/2015 19:19,8/11/2015 12:03
8/10/2015 19:22,8/10/2015 20:43
8/10/2015 19:26,8/10/2015 19:32
8/10/2015 19:29,8/10/2015 19:38
8/10/2015 19:30,8/10/2015 20:05
8/10/2015 19:30,8/10/2015 19:33
8/10/2015 19:30,8/10/2015 19:33
8/10/2015 19:32,8/10/2015 20:12
8/10/2015 19:33,8/10/2015 20:13
8/10/2015 19:34,8/10/2015 20:04
8/10/2015 19:36,8/10/2015 20:05
8/10/2015 19:41,8/10/2015 20:09
8/10/2015 19:41,8/10/2015 20:09
8/10/2015 19:42,8/10/2015 19:54
8/10/2015 19:43,8/10/2015 19:55
8/10/2015 19:45,8/10/2015 19:51
8/10/2015 19:51,8/10/2015 20:32
8/10/2015 19:57,8/10/2015 20:16
8/10/2015 20:01,8/10/2015 20:13
8/10/2015 20:01,8/10/2015 20:07
8/10/2015 20:03,8/10/2015 20:08
8/10/2015 20:09,8/10/2015 20:16
8/10/2015 20:10,8/10/2015 20:18
8/10/2015 20:19,8/11/2015 15:43
8/10/2015 20:19,8/10/2015 20:34
8/10/2015 20:20,8/10/2015 20:29
8/10/2015 20:24,8/10/2015 20:58
8/10/2015 20:28,8/10/2015 20:36
8/10/2015 20:30,8/10/2015 20:33
8/10/2015 20:33,8/10/2015 20:58
8/10/2015 20:34,8/10/2015 20:45
8/10/2015 20:39,8/10/2015 20:53
8/10/2015 20:43,8/10/2015 20:58
8/10/2015 20:48,8/11/2015 15:45
